PLAYER,TEAM,GP,MIN,PTS,FGA,FTA,TOV,Usage_pg,TOV_per36,LowTO_HighUsage_Index
DeMar DeRozan,SAC,77,2768,1710,1308,441,105,19.50701298701299,1.365606936416185,14.28450051535766
Keegan Murray,SAC,76,2610,942,820,72,60,11.206315789473683,0.8275862068965517,13.5409649122807
Sam Hauser,BOS,71,1541,605,474,11,23,6.744225352112676,0.5373134328358209,12.551752738654146
Tim Hardaway Jr.,DET,77,2153,844,680,145,48,9.659740259740259,0.8026010218300047,12.03554443241943
Gary Trent Jr.,MIL,74,1893,824,657,92,42,9.425405405405405,0.7987321711568939,11.800457957957956
Harrison Barnes,SAS,82,2230,1011,683,199,50,9.397073170731707,0.8071748878923767,11.641929539295392
Rui Hachimura,LAL,59,1869,775,576,113,49,10.60542372881356,0.9438202247191012,11.236698950766748
OG Anunoby,NYK,74,2706,1332,1027,226,102,15.222162162162164,1.3569844789356986,11.217639109697933
Dillon Brooks,HOU,75,2388,1053,895,121,76,12.6432,1.1457286432160805,11.035073684210525
Pascal Siakam,IND,78,2548,1578,1182,308,109,16.89128205128205,1.5400313971742543,10.968141352361537
Christian Braun,DEN,79,2675,1218,821,214,81,11.584303797468355,1.0900934579439252,10.626890486360717
Malik Beasley,DET,82,2283,1336,1071,140,83,13.812195121951218,1.3088042049934299,10.553293662454694
Lauri Markkanen,UTA,47,1476,892,700,185,66,16.625531914893617,1.6097560975609757,10.327981947130883
Tyrese Maxey,PHI,52,1960,1369,1091,289,124,23.42615384615385,2.277551020408163,10.285676867934935
Michael Porter Jr.,DEN,77,2593,1398,1048,194,104,14.718961038961037,1.4438873891245663,10.193981296481294
