PLAYER,TEAM,GP,MIN,OREB,DREB,REB,OREB_Load,DREB_Load,REB_Load
Karl-Anthony Towns,NYK,72,2517,212,708,920,27.604166666666668,29.475437135720234,29.02208201892745
Ivica Zubac,LAC,80,2624,300,710,1010,37.78337531486146,26.492537313432834,29.073114565342546
Nikola Jokić,DEN,70,2571,200,692,892,22.624434389140273,25.31089978054133,24.654505251520177
Domantas Sabonis,SAC,70,2429,267,705,972,27.27272727272727,24.086094977792964,24.88479262672811
Josh Hart,NYK,77,2897,161,576,737,20.963541666666664,23.98001665278934,23.249211356466876
Giannis Antetokounmpo,MIL,67,2289,147,651,798,20.33195020746888,21.47097625329815,21.251664447403463
Jayson Tatum,BOS,72,2624,48,575,623,5.25164113785558,21.312083024462563,17.248062015503876
Jarrett Allen,CLE,82,2296,216,582,798,23.580786026200872,20.965417867435157,21.614301191765982
Bam Adebayo,MIA,78,2674,185,564,749,23.125,20.099786172487526,20.77093732667776
Rudy Gobert,MIN,72,2388,265,520,785,30.921820303383896,19.696969696969695,22.447812410637688
Nikola Vučević,CHI,73,2278,178,557,735,20.721769499417928,19.16064671482628,19.516728624535315
LeBron James,LAL,70,2444,72,474,546,9.436435124508519,19.02850260939382,16.779348494161034
Alperen Sengun,HOU,76,2395,262,524,786,21.833333333333332,18.621179815209665,19.581464872944693
Jalen Duren,DET,78,2034,277,530,807,29.436769394261425,18.409169850642584,21.12565445026178
Evan Mobley,CLE,71,2167,164,495,659,17.903930131004365,17.8314121037464,17.84940411700975
